Model,Scenario,Region,Variable,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,trinidad,Commercial|Electricity and Heat|Electricity|ELECTR|Final consumption|Commercial and public services|COMMPUB,TJ,1195.2008,1173.60095,1270.79925,1256.4000500000002,1274.39955,1281.6002,1295.9994000000002,1486.79985,1749.60045,1814.4,1882.7999,1951.19975,2005.20045,2293.19915,2163.60005,2376.0003,2516.4004,2768.40005,2851.1991,3203.9994500000003,3164.4001,3221.999,3358.80085,3502.79915,3466.8001000000004,3520.8007500000003,3459.59945,3416.1103000000003,3319.72105,3306.4479,3415.8174774086606,3548.434419352566,3681.051361296472,3813.6683032403766,3946.285245184282,4078.902187128187,4211.519129072092,4344.136071015998,4476.753012959904,4609.369954903808,4741.986896847714,4874.60383879162,5007.220780735524,5139.837722679429,5272.454664623335,5405.07160656724,5537.688548511145,5670.305490455051,5802.9224323989565,5935.539374342861,6068.156316286767,6200.773258230673,6333.390200174577,6466.007142118483,6598.624084062389,6731.241026006293,6863.857967950198,6996.474909894105,7129.0918518380095,7261.708793781914,7394.32573572582
PD22,baseline,trinidad,Commercial|Oil products|Gas/diesel oil excl. biofuels|NONBIODIES|Final consumption|Commercial and public services|COMMPUB,TJ,0.0,0.0,476.3,433.0,346.4,43.3,43.3,433.0,433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.8,303.1,303.1,303.1,346.4,346.4,303.1,346.4,303.1,346.4,303.1,290.8,238.41,247.2,242.76698689546907,242.9512171621672,243.1354474288653,243.31967769556343,243.5039079622616,243.68813822895967,243.87236849565772,244.05659876235592,244.24082902905403,244.4250592957521,244.60928956245027,244.7935198291484,244.9777500958465,245.16198036254465,245.3462106292428,245.53044089594084,245.71467116263892,245.8989014293371,246.0831316960352,246.26736196273333,246.45159222943144,246.6358224961296,246.8200527628277,247.0042830295258,247.188513296224,247.37274356292204,247.55697382962012,247.74120409631828,247.9254343630164,248.10966462971453,248.29389489641264
PD22,baseline,trinidad,Commercial|Oil products|Liquified petroleum gases (LPG)|LPG|Final consumption|Commercial and public services|COMMPUB,TJ,0.0,0.0,0.0,1277.1,1135.2,1087.9,1182.5,1087.9,1135.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,trinidad,Electric Power|Biofuels and Waste|Primary solid biofuels|PRIMSBIO|Electricity output|Electricity output -autoproducer electricity plants|ELAUTOE,TJ,111.6,90.0,108.0,100.8,115.2,118.8,61.2,64.8,64.8,64.8,72.0,104.4,93.6,43.2,82.8,79.2,93.6,68.4,72.0,68.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,trinidad,Electric Power|Biofuels and Waste|Primary solid biofuels|PRIMSBIO|Transformation processes|Autoproducer electricity plants|AUTOELEC,TJ,-2034.0,-1737.0,-1743.0,-1615.0,-1860.0,-1070.0,-1145.0,-1238.0,-1238.0,-1324.0,-243.0,-181.0,-1193.0,-975.0,-1007.0,-1039.0,-684.0,-482.0,-482.0,-487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,trinidad,Electric Power|Electricity and Heat|Electricity|ELECTR|Energy industry own use and Losses|Losses|DISTLOSS,TJ,-1076.4006,-1666.7993,-1634.40055,-1133.9995,-1648.79975,-1494.0005,-1619.9992499999998,-1443.60015,-1504.79935,-1540.8004999999998,-1436.3995,-1540.8004999999998,-1540.8004999999998,-1123.2006,-1324.7999,-1400.40045,-986.40085,-914.40065,-806.3993,-1047.6001,-954.00005,-874.7991999999999,-860.4,-842.40045,-881.9998499999999,-892.8008,-910.80035,-989.50915,-1532.90235,-1526.76135,-1525.779040808519,-1544.3179839226827,-1562.8569270368466,-1581.3958701510105,-1599.934813265174,-1618.4737563793378,-1637.0126994935015,-1655.5516426076651,-1674.090585721829,-1692.6295288359927,-1711.1684719501566,-1729.7074150643202,-1748.246358178484,-1766.7853012926478,-1785.3242444068114,-1803.8631875209755,-1822.402130635139,-1840.9410737493024,-1859.4800168634663,-1878.0189599776304,-1896.5579030917936,-1915.0968462059573,-1933.6357893201207,-1952.174732434285,-1970.713675548449,-1989.2526186626128,-2007.791561776776,-2026.33050489094,-2044.869448005104,-2063.4083911192674,-2081.947334233432
PD22,baseline,trinidad,"Electric Power|Electricity and Heat|Electricity|ELECTR|Energy industry own use and Losses|Own use in electricity, CHP and heat plants|EPOWERPLT",TJ,-633.6,-579.6,-626.4,-558.0,-903.6,-637.2,-669.6,-493.2,-511.2,-928.8,-925.2,-910.8,-910.8,-896.4,-871.2,-928.8,-943.2,-1011.6,-1018.8,-1033.2,-1112.4,-1148.4,-1195.2,-1245.6,-1234.8,-1252.8,-1234.8,-1222.16,-1209.93,-1205.1,-1204.324645812095,-1218.9577646992602,-1233.5908835864252,-1248.2240024735904,-1262.8571213607556,-1277.4902402479206,-1292.1233591350858,-1306.756478022251,-1321.389596909416,-1336.0227157965812,-1350.6558346837464,-1365.2889535709114,-1379.9220724580766,-1394.5551913452418,-1409.1883102324068,-1423.821429119572,-1438.4545480067372,-1453.0876668939022,-1467.7207857810674,-1482.3539046682326,-1496.9870235553976,-1511.6201424425628,-1526.253261329728,-1540.886380216893,-1555.5194991040582,-1570.1526179912237,-1584.7857368783884,-1599.4188557655536,-1614.0519746527189,-1628.6850935398838,-1643.318212427049
PD22,baseline,trinidad,Electric Power|Electricity and Heat|Electricity|ELECTR|Transformation processes|Autoproducer electricity plants|AUTOELEC,TJ,403.2007,403.2007,413.9996,396.00005,327.6002,280.80015000000003,190.8004,208.79995,161.99995,183.5998,161.99995,169.20055,169.20055,133.19945,133.19945,129.5991,144.0004,126.00085,126.00085,126.00085,251.99965,259.2003,269.9992,280.80015000000003,291.59905000000003,306.00035,295.19935,294.4793,273.64045,272.54195000000004,272.3665981268673,275.675982207931,278.9853662889946,282.2947503700583,285.6041344511219,288.9135185321856,292.22290261324923,295.5322866943129,298.8416707753766,302.1510548564402,305.4604389375039,308.76982301856754,312.0792070996312,315.38859118069485,318.69797526175853,322.00735934282216,325.31674342388584,328.6261275049495,331.93551158601315,335.24489566707683,338.5542797481405,341.86366382920414,345.17304791026777,348.48243199133145,351.79181607239514,355.1012001534588,358.41058423452245,361.7199683155861,365.02935239664976,368.3387364777134,371.64812055877707
PD22,baseline,trinidad,Electric Power|Electricity and Heat|Electricity|ELECTR|Transformation processes|Main activity producer electricity plants|MAINELEC,TJ,12474.0006,12988.80085,13899.5991,13345.19945,14320.79935,15224.399,16156.7992,17748.000050000002,18446.4001,18705.6004,19490.39985,20149.20055,20149.20055,23039.99905,23014.80095,25279.1996,25671.59935,27507.5992,27705.60025,28108.80095,30294.00085,31319.999,32605.1995,33937.2001,33627.599449999994,34146.00005,33613.200249999994,33269.11125,32936.3612,32804.61815,32783.511853372984,33181.84715951937,33580.18246566575,33978.51777181213,34376.85307795851,34775.1883841049,35173.52369025128,35571.858996397656,35970.19430254404,36368.52960869043,36766.864914836806,37165.200220983184,37563.53552712957,37961.87083327596,38360.206139422335,38758.54144556871,39156.8767517151,39555.212057861485,39953.54736400786,40351.88267015424,40750.21797630063,41148.55328244701,41546.88858859339,41945.22389473977,42343.55920088616,42741.89450703254,43140.22981317892,43538.5651193253,43936.900425471686,44335.23573161807,44733.57103776445
PD22,baseline,trinidad,Electric Power|Electricity and Heat|Offshore wind energy|OFFSHORE|Electricity output|Electricity output -autoproducer electricity plants|ELAUTOE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
