Model,Scenario,Region,Variable,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,spain,Commercial|Biofuels and Waste|Biodiesels|BIODIESEL|Final consumption|Commercial and public services|COMMPUB,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.07,76.07,114.09,152.13,152.13,190.16,190.16,182.69229249625505,181.0775279970444,179.46276349783372,177.84799899862307,176.23323449941242,174.61847000020177,173.00370550099112,171.38894100178047,169.77417650256982,168.15941200335917,166.54464750414851,164.92988300493786,163.3151185057272,161.70035400651656,160.0855895073059,158.47082500809526,156.8560605088846,155.24129600967396,153.6265315104633,152.01176701125266,150.397002512042,148.78223801283136,147.1674735136207,145.55270901441006,143.9379445151994,142.32318001598875,140.7084155167781,139.09365101756745,137.4788865183568,135.86412201914615,134.2493575199355
PD22,baseline,spain,Commercial|Biofuels and Waste|Biogases|BIOGASES|Final consumption|Commercial and public services|COMMPUB,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.0,399.0,553.0,553.0,537.0,576.0,1719.0,1751.0,396.0,7.0,7.0,7.0,126.0,371.0,473.0,464.0,456.0,479.0,485.0,483.0,483.5300893491692,484.1613037048362,484.7925180605032,485.4237324161703,486.0549467718373,486.6861611275044,487.31737548317136,487.9485898388384,488.5798041945055,489.2110185501725,489.8422329058395,490.4734472615066,491.1046616171736,491.7358759728407,492.3670903285077,492.99830468417474,493.6295190398418,494.2607333955088,494.8919477511759,495.5231621068429,496.15437646251,496.78559081817696,497.416805173844,498.0480195295111,498.6792338851781,499.3104482408451,499.9416625965122,500.5728769521792,501.2040913078463,501.8353056635133,502.46652001918034
PD22,baseline,spain,Commercial|Biofuels and Waste|Biogasoline|BIOGASOL|Final consumption|Commercial and public services|COMMPUB,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,25.939692350646222,25.71041888893668,25.481145427227126,25.25187196551758,25.02259850380804,24.793325042098484,24.56405158038893,24.33477811867939,24.10550465696984,23.876231195260296,23.64695773355075,23.4176842718412,23.188410810131654,22.959137348422107,22.72986388671256,22.50059042500301,22.271316963293465,22.042043501583915,21.81277003987437,21.58349657816482,21.35422311645528,21.124949654745727,20.89567619303618,20.66640273132663,20.437129269617085,20.20785580790753,19.97858234619799,19.749308884488443,19.520035422778896,19.290761961069347,19.0614884993598
PD22,baseline,spain,Commercial|Biofuels and Waste|Municipal waste (non-renewable)|MUNWASTEN|Final consumption|Commercial and public services|COMMPUB,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,236.0,291.5,177.0,201.0,201.9206546651373,202.8376389943267,203.75462332351609,204.67160765270543,205.58859198189484,206.5055763110842,207.4225606402736,208.33954496946296,209.2565292986524,210.1735136278417,211.0904979570311,212.0074822862205,212.92446661540984,213.8414509445992,214.75843527378865,215.675419602978,216.59240393216737,217.50938826135675,218.42637259054607,219.3433569197355,220.26034124892487,221.17732557811425,222.09430990730365,223.011294236493,223.9282785656824,224.84526289487167,225.7622472240612,226.6792315532505,227.59621588243988,228.51320021162925,229.43018454081863
PD22,baseline,spain,Commercial|Biofuels and Waste|Municipal waste (renewable)|MUNWASTER|Final consumption|Commercial and public services|COMMPUB,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,236.0,291.5,177.0,201.0,202.633938002442,204.4578893524876,206.28184070253303,208.1057920525785,209.92974340262407,211.7536947526696,213.5776461027151,215.4015974527606,217.2255488028061,219.04950015285164,220.87345150289715,222.69740285294264,224.52135420298816,226.34530555303368,228.1692569030792,229.9932082531247,231.8171596031702,233.64111095321573,235.46506230326125,237.2890136533068,239.11296500335223,240.93691635339772,242.7608677034433,244.5848190534888,246.4087704035344,248.23272175357985,250.0566731036253,251.8806244536709,253.70457580371635,255.52852715376187,257.3524785038074
PD22,baseline,spain,Commercial|Biofuels and Waste|Primary solid biofuels|PRIMSBIO|Final consumption|Commercial and public services|COMMPUB,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1785.0,1815.0,1815.0,1815.0,1824.0,1848.0,2850.0,2913.0,3337.0,2429.0,2513.0,2688.0,2878.0,3037.0,3103.0,3355.0,4253.0,4580.0,4746.0,4394.0,4429.7190227996525,4469.591869725523,4509.464716651394,4549.3375635772645,4589.210410503135,4629.083257429005,4668.9561043548765,4708.828951280747,4748.701798206617,4788.574645132488,4828.447492058359,4868.320338984229,4908.1931859101,4948.06603283597,4987.938879761841,5027.811726687712,5067.684573613582,5107.557420539453,5147.430267465324,5187.303114391194,5227.175961317064,5267.048808242936,5306.921655168806,5346.794502094676,5386.667349020547,5426.540195946418,5466.413042872288,5506.285889798159,5546.15873672403,5586.0315836499,5625.904430575771
PD22,baseline,spain,Commercial|Coal|Gas works gas|GASWKSGS|Final consumption|Commercial and public services|COMMPUB,TJ,1211.4,2029.5,1719.9,1644.3,1129.5,900.0,686.7,340.2,385.2,369.9,1586.7,475.2,463.5,531.0,590.4,621.0,577.8,765.9,799.2,729.0,1263.6,127.8,58.5,23.4,12.6,9.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,spain,Commercial|Coal|Other bituminous coal|BITCOAL|Final consumption|Commercial and public services|COMMPUB,TJ,669.9,1848.0,2500.0,835.27,451.5,451.5,440.0,448.0,448.0,394.87,836.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,spain,Commercial|Coal|Sub-bituminous coal|SUBCOAL|Final consumption|Commercial and public services|COMMPUB,TJ,11.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,spain,Commercial|Electricity and Heat|Electricity|ELECTR|Final consumption|Commercial and public services|COMMPUB,TJ,90370.8005,92408.3997,96217.19915,98729.9992,107942.39935,106448.40095,122194.8009,142729.20055,147960.0003,161866.80005,180082.80034999998,184557.59905,191617.2001,206035.19985,218415.6004,229762.80005,263268.001,266579.99975,287168.40005000005,291668.401,302011.2003,294570.0005,290707.20035,274687.2009,254023.20005,266788.7997,264196.80085,271105.2009,268246.79905000003,268653.60005,273291.51185549656,276143.57112215296,278995.63038880937,281847.6896554658,284699.7489221221,287551.8081887785,290403.8674554349,293255.92672209133,296107.98598874774,298960.04525540414,301812.10452206054,304664.16378871695,307516.2230553733,310368.2823220297,313220.3415886861,316072.4008553425,318924.4601219989,321776.5193886553,324628.5786553117,327480.6379219681,330332.6971886245,333184.7564552809,336036.8157219373,338888.8749885937,341740.9342552501,344592.9935219065,347445.05278856284,350297.11205521924,353149.17132187565,356001.23058853205,358853.28985518846
