Model,Scenario,Region Group,ISO,Region,Subvertical,Metric,Unit,Value 1,Duration 1 (Years),Value 2,Duration 2 (Years),Value 3,Duration 3 (Years)
PD22,Pathway,PAK,AFG,Afghanistan,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,EEU,ALB,Albania,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,LAM-M,ARG,Argentina,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,CAS,ARM,Armenia,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,ANUZ,AUS,Australia,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,EU15,AUT,Austria,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,CAS,AZE,Azerbaijan,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,EEU-FSU,BLR,Belarus,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,EU15,BEL,Belgium,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,EEU,BIH,Bosnia and Herzegovina,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,EU12-M,BGR,Bulgaria,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,CAN,CAN,Canada,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,SSA-L,CPV,Cape Verde,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,LAM-M,CHL,Chile,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,CHN,CHN,China,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,SSA-L,COM,Comoros,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,EEU,HRV,Croatia,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,EU12-H,CYP,Cyprus,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,EU12-H,CZE,Czech Republic,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,OAS-L,PRK,Democratic People's Republic of Korea (North Korea),Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,EU15,DNK,Denmark (except Greenland),Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,SSA-L,DJI,Djibouti,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,NAF,EGY,Egypt,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,EU12-H,EST,Estonia,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,NA,FLK,Falkland Islands,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,NA,FRO,Faroe Islands,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,EU15,FIN,Finland,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,EU15,FRA,France (except French Guiana),Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,CAS,GEO,Georgia,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,EU15,DEU,Germany,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,EU15,GRC,Greece,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,EU15,GRL,Greenland (Denmark),Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,LAM-M,GLP,Guadeloupe,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,LAM-L,HTI,Haiti,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,EU12-H,HUN,Hungary,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,EFTA,ISL,Iceland,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,MEA-M,IRN,Iran,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,MEA-M,IRQ,Iraq,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,EU15,IRL,Ireland,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,MEA-H,ISR,Israel,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,EU15,ITA,Italy,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,JPN,JPN,Japan,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,MEA-M,JOR,Jordan,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,CAS,KAZ,Kazakhstan,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,MEA-H,KWT,Kuwait,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,CAS,KGZ,Kyrgyzstan,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
PD22,Pathway,EU12-M,LVA,Latvia,Improved Forest Management,Max extent,m3,NA,NA,NA,NA,NA,NA
