Model,Scenario,Region Group,ISO,Region,Subvertical,Metric,Unit,Value 1,Duration 1 (Years),Value 2,Duration 2 (Years),Value 3,Duration 3 (Years)
PD22,Pathway,PAK,AFG,Afghanistan,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.6241,6,3.49496,93,NA,NA
PD22,Pathway,EEU,ALB,Albania,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,2.293,6,12.8408,93,NA,NA
PD22,Pathway,NAF,DZA,Algeria,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.4873,6,2.72888,93,NA,NA
PD22,Pathway,SSA-M,AGO,Angola,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.4623,6,2.58888,93,NA,NA
PD22,Pathway,LAM-M,ARG,Argentina,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,2.7381,6,15.33336,93,NA,NA
PD22,Pathway,CAS,ARM,Armenia,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.0307,6,5.77192,93,NA,NA
PD22,Pathway,ANUZ,AUS,Australia,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.5384,6,8.61504,93,NA,NA
PD22,Pathway,EU15,AUT,Austria,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,2.3622,6,13.22832,93,NA,NA
PD22,Pathway,CAS,AZE,Azerbaijan,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.0931,6,6.12136,93,NA,NA
PD22,Pathway,LAM-M,BHS,Bahamas,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,4.9189,6,27.54584,93,NA,NA
PD22,Pathway,OAS-L,BGD,Bangladesh,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,3.6696,6,20.54976,93,NA,NA
PD22,Pathway,EEU-FSU,BLR,Belarus,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.1328,6,6.34368,93,NA,NA
PD22,Pathway,EU15,BEL,Belgium,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.7694,6,9.90864,93,NA,NA
PD22,Pathway,LAM-L,BLZ,Belize,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,5.3736,6,30.09216,93,NA,NA
PD22,Pathway,SSA-L,BEN,Benin,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.8656,6,4.84736,93,NA,NA
PD22,Pathway,OAS-M,BTN,Bhutan,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,2.0065,6,11.2364,93,NA,NA
PD22,Pathway,LAM-M,BOL,Bolivia,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,2.4046,6,13.46576,93,NA,NA
PD22,Pathway,EEU,BIH,Bosnia and Herzegovina,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,2.4625,6,13.79,93,NA,NA
PD22,Pathway,SSA-M,BWA,Botswana,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.1833,6,1.02648,93,NA,NA
PD22,Pathway,BRA,BRA,Brazil,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,4.8636,6,27.23616,93,NA,NA
PD22,Pathway,OAS-M,BRN,Brunei Darussalam,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,2.399,6,13.4344,93,NA,NA
PD22,Pathway,EU12-M,BGR,Bulgaria,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.8663,6,10.45128,93,NA,NA
PD22,Pathway,SSA-L,BFA,Burkina Faso,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.4244,6,2.37664,93,NA,NA
PD22,Pathway,SSA-L,BDI,Burundi,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.6138,6,3.43728,93,NA,NA
PD22,Pathway,OAS-CPA,KHM,Cambodia,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,3.613,6,20.2328,93,NA,NA
PD22,Pathway,SSA-L,CMR,Cameroon,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.7763,6,4.34728,93,NA,NA
PD22,Pathway,CAN,CAN,Canada,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.4269,6,7.99064,93,NA,NA
PD22,Pathway,SSA-L,CPV,Cape Verde,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.2033,6,1.13848,93,NA,NA
PD22,Pathway,SSA-L,CAF,Central African Republic,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.2495,6,1.3972,93,NA,NA
PD22,Pathway,SSA-L,TCD,Chad,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.3046,6,1.70576,93,NA,NA
PD22,Pathway,LAM-M,CHL,Chile,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,2.6289,6,14.72184,93,NA,NA
PD22,Pathway,CHN,CHN,China,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,4.3844,6,24.55264,93,NA,NA
PD22,Pathway,LAM-M,COL,Colombia,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,5.0639,6,28.35784,93,NA,NA
PD22,Pathway,SSA-L,COM,Comoros,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.7876,6,4.41056,93,NA,NA
PD22,Pathway,LAM-M,CRI,Costa Rica,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,5.8897,6,32.98232,93,NA,NA
PD22,Pathway,SSA-L,CIV,Cote d'Ivoire,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.7096,6,3.97376,93,NA,NA
PD22,Pathway,EEU,HRV,Croatia,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,2.7889,6,15.61784,93,NA,NA
PD22,Pathway,LAM-M,CUB,Cuba,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,4.4858,6,25.12048,93,NA,NA
PD22,Pathway,EU12-H,CYP,Cyprus,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.635,6,3.556,93,NA,NA
PD22,Pathway,EU12-H,CZE,Czech Republic,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.4371,6,8.04776,93,NA,NA
PD22,Pathway,OAS-L,PRK,Democratic People's Republic of Korea (North Korea),Biochar,Avg mitigation potential flux,tCO2e/ha/yr,2.3156,6,12.96736,93,NA,NA
PD22,Pathway,SSA-L,COD,Democratic Republic of the Congo (DRC),Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.6052,6,3.38912,93,NA,NA
PD22,Pathway,EU15,DNK,Denmark (except Greenland),Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.2454,6,6.97424,93,NA,NA
PD22,Pathway,SSA-L,DJI,Djibouti,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.2455,6,1.3748,93,NA,NA
PD22,Pathway,LAM-M,DOM,Dominican Republic,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,3.8059,6,21.31304,93,NA,NA
PD22,Pathway,LAM-M,ECU,Ecuador,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,3.1321,6,17.53976,93,NA,NA
PD22,Pathway,NAF,EGY,Egypt,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,4.8786,6,27.32016,93,NA,NA
PD22,Pathway,LAM-M,SLV,El Salvador,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,4.072,6,22.8032,93,NA,NA
PD22,Pathway,SSA-M,GNQ,Equatorial Guinea,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.3192,6,1.78752,93,NA,NA
PD22,Pathway,SSA-L,ERI,Eritrea,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.2098,6,1.17488,93,NA,NA
PD22,Pathway,EU12-H,EST,Estonia,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.028,6,5.7568,93,NA,NA
PD22,Pathway,SSA-L,ETH,Ethiopia,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.1972,6,6.70432,93,NA,NA
PD22,Pathway,NA,FLK,Falkland Islands,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0,6,0,93,NA,NA
PD22,Pathway,NA,FRO,Faroe Islands,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.4845,6,2.7132,93,NA,NA
PD22,Pathway,OAS-L,FJI,Fiji,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,7.347,6,41.1432,93,NA,NA
PD22,Pathway,EU15,FIN,Finland,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.9226,6,5.16656,93,NA,NA
PD22,Pathway,EU15,FRA,France (except French Guiana),Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.8669,6,10.45464,93,NA,NA
PD22,Pathway,LAM-M,GUF,French Guiana (France),Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0,6,0,93,NA,NA
PD22,Pathway,OAS-M,PYF,French Polynesia,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.9219,6,5.16264,93,NA,NA
PD22,Pathway,SSA-M,GAB,Gabon,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.686,6,3.8416,93,NA,NA
PD22,Pathway,SSA-L,GMB,"Gambia, The",Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.2896,6,1.62176,93,NA,NA
PD22,Pathway,CAS,GEO,Georgia,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.3468,6,7.54208,93,NA,NA
PD22,Pathway,EU15,DEU,Germany,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.5291,6,8.56296,93,NA,NA
PD22,Pathway,SSA-L,GHA,Ghana,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.8824,6,4.94144,93,NA,NA
PD22,Pathway,EU15,GRC,Greece,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.9618,6,10.98608,93,NA,NA
PD22,Pathway,EU15,GRL,Greenland (Denmark),Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0,6,0,93,NA,NA
PD22,Pathway,LAM-M,GLP,Guadeloupe,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0,6,0,93,NA,NA
PD22,Pathway,LAM-L,GTM,Guatemala,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,5.2354,6,29.31824,93,NA,NA
PD22,Pathway,SSA-L,GIN,Guinea,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.7697,6,4.31032,93,NA,NA
PD22,Pathway,SSA-L,GNB,Guinea-Bissau,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.8366,6,4.68496,93,NA,NA
PD22,Pathway,LAM-M,GUY,Guyana,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,6.866,6,38.4496,93,NA,NA
PD22,Pathway,LAM-L,HTI,Haiti,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.255,6,7.028,93,NA,NA
PD22,Pathway,LAM-L,HND,Honduras,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,3.4276,6,19.19456,93,NA,NA
PD22,Pathway,EU12-H,HUN,Hungary,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,2.4246,6,13.57776,93,NA,NA
PD22,Pathway,EFTA,ISL,Iceland,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.7942,6,4.44752,93,NA,NA
PD22,Pathway,IND,IND,India,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.6167,6,9.05352,93,NA,NA
PD22,Pathway,IDN,IDN,Indonesia,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,3.7841,6,21.19096,93,NA,NA
PD22,Pathway,MEA-M,IRN,Iran,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.2088,6,6.76928,93,NA,NA
PD22,Pathway,MEA-M,IRQ,Iraq,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.9587,6,5.36872,93,NA,NA
PD22,Pathway,EU15,IRL,Ireland,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.2218,6,6.84208,93,NA,NA
PD22,Pathway,MEA-H,ISR,Israel,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.2304,6,6.89024,93,NA,NA
PD22,Pathway,EU15,ITA,Italy,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,2.4002,6,13.44112,93,NA,NA
PD22,Pathway,LAM-M,JAM,Jamaica,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,5.9501,6,33.32056,93,NA,NA
PD22,Pathway,JPN,JPN,Japan,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,5.1134,6,28.63504,93,NA,NA
PD22,Pathway,MEA-M,JOR,Jordan,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.5795,6,3.2452,93,NA,NA
