IEA Region,Technology,Scenario,Sector,Metric,Value
AdvancedECO ,Biochar,Baseline,Industry,Saturation Point,5
AdvancedECO ,Biochar,Pathway,Industry,Saturation Point,23
AdvancedECO ,Biochar,Pathway,,"Parameter b, min",0
AdvancedECO ,Biochar,Baseline,,"Parameter b, min",0
AdvancedECO ,Biochar,Pathway,,"Parameter b, max",100
AdvancedECO ,Biochar,Baseline,,"Parameter b, max",100
AdvancedECO ,Biochar,Pathway,,"Parameter a, min",0
AdvancedECO ,Biochar,Baseline,,"Parameter a, min",0
AdvancedECO ,Biochar,Pathway,,"Parameter a, max",5
AdvancedECO ,Biochar,Baseline,,"Parameter a, max",5
AdvancedECO ,Biochar,Baseline,,Max annual growth,100
AdvancedECO ,Biochar,Pathway,,Max annual growth,100
AdvancedECO ,Biochar,Pathway,Industry,Floor,0
AdvancedECO ,Biochar,Baseline,Industry,Floor,0
AdvancedECO ,Biofuels,Baseline,,Saturation Point,10
AdvancedECO ,Biofuels,Pathway,,Saturation Point,100
AdvancedECO ,Biofuels,Baseline,,Max annual growth,100
AdvancedECO ,Biofuels,Pathway,,Floor,0
AdvancedECO ,Biofuels,Baseline,,Floor,0
AdvancedECO ,Biofuels | Ethanol,Baseline,,% share of biofuels in 2100,50
AdvancedECO ,Biofuels | Ethanol,Pathway,,% share of biofuels in 2100,50
AdvancedECO ,Biofuels | Ethanol,Baseline,,% share of biofuels in 2050,62
AdvancedECO ,Biofuels | Ethanol,Pathway,,% share of biofuels in 2050,62
AdvancedECO ,Biomass and waste,Baseline,,Useful Life in Start Year,25
AdvancedECO ,Biomass and waste,Pathway,,Useful Life in Start Year,25
AdvancedECO ,Biomass and waste,Baseline,,Useful Life in End Year,45
AdvancedECO ,Biomass and waste,Pathway,,Useful Life in End Year,45
AdvancedECO ,Biomass and waste,Baseline,,"Start Year, Retirement Trend",1990
AdvancedECO ,Biomass and waste,Pathway,,"Start Year, Retirement Trend",1990
AdvancedECO ,Biomass and waste,Baseline,,Saturation Point,5
AdvancedECO ,Biomass and waste,Pathway,,Saturation Point,5
AdvancedECO ,Biomass and waste,Pathway,,"Parameter b, min",0
AdvancedECO ,Biomass and waste,Baseline,,"Parameter b, min",0
AdvancedECO ,Biomass and waste,Pathway,,"Parameter b, max",100
AdvancedECO ,Biomass and waste,Baseline,,"Parameter b, max",100
AdvancedECO ,Biomass and waste,Pathway,,"Parameter a, min",0
AdvancedECO ,Biomass and waste,Baseline,,"Parameter a, min",0
AdvancedECO ,Biomass and waste,Pathway,,"Parameter a, max",5
AdvancedECO ,Biomass and waste,Baseline,,"Parameter a, max",5
AdvancedECO ,Biomass and waste,Baseline,,Max annual growth,100
AdvancedECO ,Biomass and waste,Pathway,,Max annual growth,100
AdvancedECO ,Biomass and waste,Pathway,,Floor,0
AdvancedECO ,Biomass and waste,Baseline,,Floor,0
AdvancedECO ,Biomass and waste,Baseline,,"End Year, Retirement Trend",2100
AdvancedECO ,Biomass and waste,Pathway,,"End Year, Retirement Trend",2100
AdvancedECO ,Forests & Wetlands | Avoided Coastal Impacts | Historical analogy adoption,Pathway,,"Parameter b, min",0
AdvancedECO ,Forests & Wetlands | Avoided Coastal Impacts | Historical analogy adoption,Baseline,,"Parameter b, min",0
AdvancedECO ,Forests & Wetlands | Avoided Coastal Impacts | Historical analogy adoption,Pathway,,"Parameter b, max",100
AdvancedECO ,Forests & Wetlands | Avoided Coastal Impacts | Historical analogy adoption,Baseline,,"Parameter b, max",100
AdvancedECO ,Forests & Wetlands | Avoided Coastal Impacts | Historical analogy adoption,Pathway,,"Parameter a, min",0
AdvancedECO ,Forests & Wetlands | Avoided Coastal Impacts | Historical analogy adoption,Baseline,,"Parameter a, min",0
AdvancedECO ,Forests & Wetlands | Avoided Coastal Impacts | Historical analogy adoption,Pathway,,"Parameter a, max",0.0263
AdvancedECO ,Forests & Wetlands | Avoided Coastal Impacts | Historical analogy adoption,Baseline,,"Parameter a, max",0
AdvancedECO ,Forests & Wetlands | Avoided Coastal Impacts | Historical analogy adoption,Pathway,,Floor,0
AdvancedECO ,Forests & Wetlands | Avoided Coastal Impacts | Historical analogy adoption,Baseline,,Floor,0
