Year:number,HadCRUT4 (mean):number,HadCRUT4 (upper):number,HadCRUT4 (lower):number,ERA-Interim:number,GISTEMP v4:number,NOAA GlobalTemp v5:number,Type:text
1850,-0.05,0.16,-0.27,,,,Global annual
1851,0.11,0.31,-0.1,,,,Global annual
1852,0.1,0.29,-0.11,,,,Global annual
1853,0.06,0.25,-0.15,,,,Global annual
1854,0.08,0.25,-0.11,,,,Global annual
1855,0.05,0.23,-0.13,,,,Global annual
1856,-0.03,0.14,-0.22,,,,Global annual
1857,-0.14,0.03,-0.31,,,,Global annual
1858,-0.14,0.03,-0.32,,,,Global annual
1859,0.04,0.22,-0.15,,,,Global annual
1860,-0.02,0.16,-0.21,,,,Global annual
1861,-0.08,0.12,-0.29,,,,Global annual
1862,-0.2,0.01,-0.41,,,,Global annual
1863,0.05,0.26,-0.17,,,,Global annual
1864,-0.17,0.03,-0.38,,,,Global annual
1865,0.05,0.26,-0.19,,,,Global annual
1866,0.07,0.28,-0.15,,,,Global annual
1867,0,0.21,-0.21,,,,Global annual
1868,0.09,0.29,-0.12,,,,Global annual
1869,0.06,0.24,-0.13,,,,Global annual
1870,0.05,0.21,-0.12,,,,Global annual
1871,-0.01,0.17,-0.19,,,,Global annual
1872,0.1,0.26,-0.07,,,,Global annual
1873,0.02,0.18,-0.14,,,,Global annual
1874,-0.04,0.12,-0.21,,,,Global annual
1875,-0.07,0.09,-0.23,,,,Global annual
1876,-0.06,0.1,-0.22,,,,Global annual
1877,0.25,0.41,0.09,,,,Global annual
1878,0.36,0.52,0.2,,,,Global annual
1879,0.1,0.24,-0.06,,,,Global annual
1880,0.1,0.25,-0.06,,0.07,0.06,Global annual
1881,0.13,0.28,-0.03,,0.15,0.1,Global annual
1882,0.11,0.26,-0.04,,0.13,0.09,Global annual
1883,0.03,0.16,-0.11,,0.06,0,Global annual
1884,-0.08,0.05,-0.22,,-0.05,-0.08,Global annual
1885,-0.06,0.07,-0.2,,-0.09,-0.07,Global annual
1886,-0.04,0.09,-0.18,,-0.07,-0.06,Global annual
1887,-0.09,0.04,-0.23,,-0.12,-0.1,Global annual
1888,0.02,0.15,-0.12,,0.07,0.05,Global annual
1889,0.15,0.29,0.01,,0.13,0.1,Global annual
1890,-0.09,0.04,-0.23,,-0.12,-0.16,Global annual
1891,0,0.13,-0.15,,0.01,-0.07,Global annual
1892,-0.13,0.01,-0.28,,-0.04,-0.12,Global annual
1893,-0.15,-0.01,-0.29,,-0.08,-0.14,Global annual
1894,-0.08,0.05,-0.23,,-0.07,-0.12,Global annual
1895,-0.06,0.07,-0.21,,0.01,-0.05,Global annual
1896,0.14,0.27,0,,0.13,0.09,Global annual
1897,0.12,0.25,-0.02,,0.13,0.09,Global annual
1898,-0.09,0.05,-0.23,,-0.03,-0.08,Global annual
1899,0.04,0.17,-0.1,,0.06,0.03,Global annual
1900,0.12,0.26,-0.02,,0.16,0.11,Global annual
1901,0.07,0.21,-0.08,,0.08,0.04,Global annual
1902,-0.08,0.05,-0.21,,-0.05,-0.06,Global annual
1903,-0.15,-0.02,-0.29,,-0.14,-0.18,Global annual
1904,-0.19,-0.06,-0.33,,-0.23,-0.27,Global annual
1905,-0.05,0.08,-0.19,,-0.03,-0.09,Global annual
1906,0.04,0.17,-0.09,,0.01,-0.02,Global annual
1907,-0.14,-0.01,-0.27,,-0.15,-0.19,Global annual
1908,-0.19,-0.06,-0.32,,-0.2,-0.24,Global annual
1909,-0.2,-0.08,-0.32,,-0.25,-0.25,Global annual
1910,-0.16,-0.04,-0.29,,-0.2,-0.21,Global annual
1911,-0.22,-0.1,-0.34,,-0.21,-0.25,Global annual
1912,-0.11,0,-0.24,,-0.13,-0.15,Global annual
1913,-0.1,0.02,-0.22,,-0.11,-0.13,Global annual
1914,0.08,0.2,-0.05,,0.08,0.05,Global annual
1915,0.18,0.32,0.04,,0.09,0.1,Global annual
1916,-0.06,0.07,-0.19,,-0.13,-0.14,Global annual
1917,-0.14,-0.01,-0.29,,-0.23,-0.21,Global annual
1918,-0.01,0.14,-0.16,,-0.07,-0.12,Global annual
1919,0.05,0.19,-0.09,,-0.05,-0.06,Global annual
1920,0.08,0.21,-0.06,,-0.04,-0.04,Global annual
1921,0.14,0.26,0.01,,0.04,0.03,Global annual
1922,0.02,0.14,-0.1,,-0.05,-0.05,Global annual
1923,0.05,0.16,-0.07,,-0.04,-0.06,Global annual
1924,0.03,0.15,-0.09,,-0.04,-0.05,Global annual
1925,0.11,0.22,-0.01,,0.01,0.01,Global annual
1926,0.22,0.33,0.09,,0.12,0.11,Global annual
1927,0.12,0.23,0,,0.01,0.01,Global annual
1928,0.12,0.23,0,,0.03,0.01,Global annual
1929,-0.02,0.09,-0.14,,-0.13,-0.14,Global annual
1930,0.19,0.3,0.07,,0.07,0.08,Global annual
1931,0.24,0.35,0.12,,0.14,0.13,Global annual
1932,0.19,0.3,0.07,,0.07,0.06,Global annual
1933,0.05,0.16,-0.06,,-0.06,-0.07,Global annual
1934,0.19,0.3,0.08,,0.1,0.08,Global annual
1935,0.15,0.25,0.04,,0.03,0.03,Global annual
1936,0.18,0.28,0.07,,0.08,0.07,Global annual
1937,0.3,0.4,0.2,,0.2,0.18,Global annual
1938,0.32,0.42,0.21,,0.22,0.17,Global annual
1939,0.27,0.38,0.16,,0.21,0.2,Global annual
1940,0.34,0.46,0.21,,0.36,0.35,Global annual
1941,0.35,0.46,0.23,,0.42,0.46,Global annual
1942,0.3,0.42,0.17,,0.3,0.29,Global annual
