Region,Variable,Unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
World ,Concentration | CO2 | MAGICC6 | MED ,ppm,380,391,420,456,498,547,604,669,742,823,910
World ,Emissions | BC,Mt BC/yr,8,9,9,9,8,7,7,6,6,6,5
ASIA ,Emissions | CH4,Mt CH4/yr,139,148,155,178,197,209,204,199,194,189,189
LAM ,Emissions | CH4,Mt CH4/yr,44,43,45,54,60,65,66,69,70,68,72
MAF ,Emissions | CH4,Mt CH4/yr,50,60,64,77,89,101,118,122,124,118,106
OECD90 ,Emissions | CH4,Mt CH4/yr,66,66,65,70,74,78,82,84,85,92,96
World ,Emissions | CH4,Mt CH4/yr,330,359,373,429,470,507,515,520,520,507,526
World ,Emissions | CO,Mt CO/yr,1093,1181,1220,1250,1148,1031,901,762,688,640,585
ASIA ,Emissions | CO2,Mt CO2/yr,10579,12910,18995,24995,30220,35663,39814,43452,46533,47824,47704
LAM ,Emissions | CO2,Mt CO2/yr,2553,2370,2788,3206,3430,3890,4160,4804,5751,6645,7382
MAF ,Emissions | CO2,Mt CO2/yr,3417,3687,4702,5645,6690,8098,9150,10824,12676,14260,16014
OECD90 ,Emissions | CO2,Mt CO2/yr,11887,12408,13343,14325,15054,16176,16633,17042,17416,17555,18285
World ,Emissions | CO2,Mt CO2/yr,31474,34744,44027,52940,60430,69266,75285,81659,88117,92125,95617
World ,Emissions | CO2 | Carbon Capture and Storage,Mt CO2/yr, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
ASIA ,Emissions | CO2 | Fossil Fuels and Industry,Mt CO2/yr,9466,11888,17588,23497,29252,34738,39397,43555,46790,48225,48265
LAM ,Emissions | CO2 | Fossil Fuels and Industry,Mt CO2/yr,1475,1646,2011,2420,2873,3407,3965,4823,5844,6804,7610
MAF ,Emissions | CO2 | Fossil Fuels and Industry,Mt CO2/yr,2402,2806,3798,4784,5922,7373,8857,10824,12825,14495,16341
OECD90 ,Emissions | CO2 | Fossil Fuels and Industry,Mt CO2/yr,12117,12421,13178,13945,14841,15919,16468,17123,17513,17687,18446
