label,iso3c,year,value,unit
Combine harvesters - threshers in use,USA,1961,100.0,percent of max
Combine harvesters - threshers in use,USA,1962,91.70731707317074,percent of max
Combine harvesters - threshers in use,USA,1963,89.75609756097562,percent of max
Combine harvesters - threshers in use,USA,1964,88.78048780487805,percent of max
Combine harvesters - threshers in use,USA,1965,87.3170731707317,percent of max
Combine harvesters - threshers in use,USA,1966,85.85365853658537,percent of max
Combine harvesters - threshers in use,USA,1967,84.8780487804878,percent of max
Combine harvesters - threshers in use,USA,1968,80.0,percent of max
Combine harvesters - threshers in use,USA,1969,77.07317073170732,percent of max
Combine harvesters - threshers in use,USA,1970,74.14634146341463,percent of max
Combine harvesters - threshers in use,USA,1971,70.73170731707317,percent of max
Combine harvesters - threshers in use,USA,1972,68.39024390243902,percent of max
Combine harvesters - threshers in use,USA,1973,68.09756097560977,percent of max
Combine harvesters - threshers in use,USA,1974,66.14634146341464,percent of max
Combine harvesters - threshers in use,USA,1975,66.05853658536586,percent of max
Combine harvesters - threshers in use,USA,1976,65.98048780487805,percent of max
Combine harvesters - threshers in use,USA,1977,65.89268292682927,percent of max
Combine harvesters - threshers in use,USA,1978,65.81463414634146,percent of max
Combine harvesters - threshers in use,USA,1979,65.72682926829269,percent of max
Combine harvesters - threshers in use,USA,1980,65.64878048780488,percent of max
Combine harvesters - threshers in use,USA,1981,65.5609756097561,percent of max
Combine harvesters - threshers in use,USA,1982,65.4829268292683,percent of max
Combine harvesters - threshers in use,USA,1983,65.39512195121951,percent of max
Combine harvesters - threshers in use,USA,1984,65.30731707317074,percent of max
Combine harvesters - threshers in use,USA,1985,65.22926829268293,percent of max
Combine harvesters - threshers in use,USA,1986,65.14146341463415,percent of max
Combine harvesters - threshers in use,USA,1987,65.08565853658537,percent of max
Combine harvesters - threshers in use,USA,1988,63.487121951219514,percent of max
Combine harvesters - threshers in use,USA,1989,61.88858536585366,percent of max
Combine harvesters - threshers in use,USA,1990,60.29014634146341,percent of max
Combine harvesters - threshers in use,USA,1991,58.69160975609756,percent of max
Combine harvesters - threshers in use,USA,1992,55.49453658536585,percent of max
Combine harvesters - threshers in use,USA,1993,54.083512195121955,percent of max
Combine harvesters - threshers in use,USA,1994,52.672390243902434,percent of max
Combine harvesters - threshers in use,USA,1995,51.26136585365854,percent of max
Combine harvesters - threshers in use,USA,1996,49.85034146341463,percent of max
Combine harvesters - threshers in use,USA,1997,47.02819512195122,percent of max
Combine harvesters - threshers in use,USA,1998,46.85258536585366,percent of max
Combine harvesters - threshers in use,USA,1999,46.6769756097561,percent of max
Combine harvesters - threshers in use,USA,2000,46.50136585365854,percent of max
Combine harvesters - threshers in use,USA,2001,46.325756097560976,percent of max
Combine harvesters - threshers in use,USA,2002,39.94556097560976,percent of max
Combine harvesters - threshers in use,USA,2003,38.7259512195122,percent of max
Combine harvesters - threshers in use,USA,2004,37.506243902439024,percent of max
Combine harvesters - threshers in use,USA,2005,36.28663414634146,percent of max
Combine harvesters - threshers in use,USA,2006,35.06692682926829,percent of max
Combine harvesters - threshers in use,USA,2007,33.84731707317073,percent of max
Land agricultural land area 1000 ha,USA,1961,100.0,percent of max
Land agricultural land area 1000 ha,USA,1962,99.21387055902787,percent of max
Land agricultural land area 1000 ha,USA,1963,98.64449653526522,percent of max
Land agricultural land area 1000 ha,USA,1964,98.1012672370835,percent of max
Land agricultural land area 1000 ha,USA,1965,97.39982883025816,percent of max
Land agricultural land area 1000 ha,USA,1966,97.32765151091934,percent of max
Land agricultural land area 1000 ha,USA,1967,97.27335092702046,percent of max
Land agricultural land area 1000 ha,USA,1968,97.3823990132042,percent of max
Land agricultural land area 1000 ha,USA,1969,97.30463521404039,percent of max
Land agricultural land area 1000 ha,USA,1970,97.07067343896995,percent of max
Land agricultural land area 1000 ha,USA,1971,96.82486832667053,percent of max
Land agricultural land area 1000 ha,USA,1972,96.60140913367105,percent of max
Land agricultural land area 1000 ha,USA,1973,96.35560402137163,percent of max
Land agricultural land area 1000 ha,USA,1974,96.1227595422662,percent of max
Land agricultural land area 1000 ha,USA,1975,96.1227595422662,percent of max
Land agricultural land area 1000 ha,USA,1976,96.1227595422662,percent of max
Land agricultural land area 1000 ha,USA,1977,96.1614179826551,percent of max
Land agricultural land area 1000 ha,USA,1978,95.67695845223224,percent of max
Land agricultural land area 1000 ha,USA,1979,95.67695845223224,percent of max
Land agricultural land area 1000 ha,USA,1980,95.67695845223224,percent of max
Land agricultural land area 1000 ha,USA,1981,95.67695845223224,percent of max
Land agricultural land area 1000 ha,USA,1982,96.40007240077854,percent of max
Land agricultural land area 1000 ha,USA,1983,96.40007240077854,percent of max
Land agricultural land area 1000 ha,USA,1984,96.40007240077854,percent of max
Land agricultural land area 1000 ha,USA,1985,96.40007240077854,percent of max
Land agricultural land area 1000 ha,USA,1986,96.40007240077854,percent of max
Land agricultural land area 1000 ha,USA,1987,95.40545553273789,percent of max
Land agricultural land area 1000 ha,USA,1988,95.40545553273789,percent of max
Land agricultural land area 1000 ha,USA,1989,95.40545553273789,percent of max
Land agricultural land area 1000 ha,USA,1990,95.40545553273789,percent of max
Land agricultural land area 1000 ha,USA,1991,95.40545553273789,percent of max
Land agricultural land area 1000 ha,USA,1992,95.06602101857169,percent of max
