IEA Region,Technology,Scenario,Sector,Metric,Value
 OECD ,Animal Mgmt,pathway,AFOLU,Floor,0
 OECD ,Animal Mgmt,baseline,AFOLU,Floor,0
NAM ,Animal Mgmt,pathway,AFOLU,Floor,0
NAM ,Animal Mgmt,baseline,AFOLU,Floor,0
US ,Animal Mgmt,pathway,AFOLU,Floor,0
US ,Animal Mgmt,baseline,AFOLU,Floor,0
EUR ,Animal Mgmt,pathway,AFOLU,Floor,0
EUR ,Animal Mgmt,baseline,AFOLU,Floor,0
EU ,Animal Mgmt,pathway,AFOLU,Floor,0
EU ,Animal Mgmt,baseline,AFOLU,Floor,0
SAFR ,Animal Mgmt,pathway,AFOLU,Floor,0
SAFR ,Animal Mgmt,baseline,AFOLU,Floor,0
JPN ,Animal Mgmt,pathway,AFOLU,Floor,0
JPN ,Animal Mgmt,baseline,AFOLU,Floor,0
AdvancedECO ,Animal Mgmt,pathway,AFOLU,Floor,0
AdvancedECO ,Animal Mgmt,baseline,AFOLU,Floor,0
NonOECD ,Animal Mgmt,pathway,AFOLU,Floor,0
NonOECD ,Animal Mgmt,baseline,AFOLU,Floor,0
World ,Animal Mgmt,pathway,AFOLU,Floor,0
World ,Animal Mgmt,baseline,AFOLU,Floor,0
CSAM ,Animal Mgmt,pathway,AFOLU,Floor,0
CSAM ,Animal Mgmt,baseline,AFOLU,Floor,0
BRAZIL ,Animal Mgmt,pathway,AFOLU,Floor,0
BRAZIL ,Animal Mgmt,baseline,AFOLU,Floor,0
AFRICA ,Animal Mgmt,pathway,AFOLU,Floor,0
AFRICA ,Animal Mgmt,baseline,AFOLU,Floor,0
ME ,Animal Mgmt,pathway,AFOLU,Floor,0
ME ,Animal Mgmt,baseline,AFOLU,Floor,0
EURASIA ,Animal Mgmt,pathway,AFOLU,Floor,0
EURASIA ,Animal Mgmt,baseline,AFOLU,Floor,0
RUS ,Animal Mgmt,pathway,AFOLU,Floor,0
RUS ,Animal Mgmt,baseline,AFOLU,Floor,0
ASIAPAC ,Animal Mgmt,pathway,AFOLU,Floor,0
ASIAPAC ,Animal Mgmt,baseline,AFOLU,Floor,0
CHINA ,Animal Mgmt,pathway,AFOLU,Floor,0
CHINA ,Animal Mgmt,baseline,AFOLU,Floor,0
INDIA ,Animal Mgmt,pathway,AFOLU,Floor,0
INDIA ,Animal Mgmt,baseline,AFOLU,Floor,0
ASEAN ,Animal Mgmt,pathway,AFOLU,Floor,0
ASEAN ,Animal Mgmt,baseline,AFOLU,Floor,0
DevelopingECO ,Animal Mgmt,pathway,AFOLU,Floor,0
DevelopingECO ,Animal Mgmt,baseline,AFOLU,Floor,0
 OECD ,Animal Mgmt,pathway,AFOLU,Max annual growth,100
 OECD ,Animal Mgmt,baseline,AFOLU,Max annual growth,100
NAM ,Animal Mgmt,pathway,AFOLU,Max annual growth,100
NAM ,Animal Mgmt,baseline,AFOLU,Max annual growth,100
US ,Animal Mgmt,pathway,AFOLU,Max annual growth,100
US ,Animal Mgmt,baseline,AFOLU,Max annual growth,100
EUR ,Animal Mgmt,pathway,AFOLU,Max annual growth,100
EUR ,Animal Mgmt,baseline,AFOLU,Max annual growth,100
EU ,Animal Mgmt,pathway,AFOLU,Max annual growth,100
EU ,Animal Mgmt,baseline,AFOLU,Max annual growth,100
SAFR ,Animal Mgmt,pathway,AFOLU,Max annual growth,100
SAFR ,Animal Mgmt,baseline,AFOLU,Max annual growth,100
JPN ,Animal Mgmt,pathway,AFOLU,Max annual growth,100
JPN ,Animal Mgmt,baseline,AFOLU,Max annual growth,100
AdvancedECO ,Animal Mgmt,pathway,AFOLU,Max annual growth,100
AdvancedECO ,Animal Mgmt,baseline,AFOLU,Max annual growth,100
NonOECD ,Animal Mgmt,pathway,AFOLU,Max annual growth,100
NonOECD ,Animal Mgmt,baseline,AFOLU,Max annual growth,100
World ,Animal Mgmt,pathway,AFOLU,Max annual growth,100
World ,Animal Mgmt,baseline,AFOLU,Max annual growth,100
CSAM ,Animal Mgmt,pathway,AFOLU,Max annual growth,100
CSAM ,Animal Mgmt,baseline,AFOLU,Max annual growth,100
BRAZIL ,Animal Mgmt,pathway,AFOLU,Max annual growth,100
BRAZIL ,Animal Mgmt,baseline,AFOLU,Max annual growth,100
AFRICA ,Animal Mgmt,pathway,AFOLU,Max annual growth,100
AFRICA ,Animal Mgmt,baseline,AFOLU,Max annual growth,100
ME ,Animal Mgmt,pathway,AFOLU,Max annual growth,100
ME ,Animal Mgmt,baseline,AFOLU,Max annual growth,100
EURASIA ,Animal Mgmt,pathway,AFOLU,Max annual growth,100
EURASIA ,Animal Mgmt,baseline,AFOLU,Max annual growth,100
RUS ,Animal Mgmt,pathway,AFOLU,Max annual growth,100
RUS ,Animal Mgmt,baseline,AFOLU,Max annual growth,100
ASIAPAC ,Animal Mgmt,pathway,AFOLU,Max annual growth,100
ASIAPAC ,Animal Mgmt,baseline,AFOLU,Max annual growth,100
CHINA ,Animal Mgmt,pathway,AFOLU,Max annual growth,100
CHINA ,Animal Mgmt,baseline,AFOLU,Max annual growth,100
INDIA ,Animal Mgmt,pathway,AFOLU,Max annual growth,100
INDIA ,Animal Mgmt,baseline,AFOLU,Max annual growth,100
ASEAN ,Animal Mgmt,pathway,AFOLU,Max annual growth,100
ASEAN ,Animal Mgmt,baseline,AFOLU,Max annual growth,100
DevelopingECO ,Animal Mgmt,pathway,AFOLU,Max annual growth,100
DevelopingECO ,Animal Mgmt,baseline,AFOLU,Max annual growth,100
 OECD ,Animal Mgmt,pathway,AFOLU,"Parameter a, max",0.10618
 OECD ,Animal Mgmt,baseline,AFOLU,"Parameter a, max",0
NAM ,Animal Mgmt,pathway,AFOLU,"Parameter a, max",0.10618
NAM ,Animal Mgmt,baseline,AFOLU,"Parameter a, max",0
US ,Animal Mgmt,pathway,AFOLU,"Parameter a, max",0.10618
US ,Animal Mgmt,baseline,AFOLU,"Parameter a, max",0
EUR ,Animal Mgmt,pathway,AFOLU,"Parameter a, max",0.10618
EUR ,Animal Mgmt,baseline,AFOLU,"Parameter a, max",0
EU ,Animal Mgmt,pathway,AFOLU,"Parameter a, max",0.10618
EU ,Animal Mgmt,baseline,AFOLU,"Parameter a, max",0
SAFR ,Animal Mgmt,pathway,AFOLU,"Parameter a, max",0.10618
SAFR ,Animal Mgmt,baseline,AFOLU,"Parameter a, max",0
JPN ,Animal Mgmt,pathway,AFOLU,"Parameter a, max",0.10618
JPN ,Animal Mgmt,baseline,AFOLU,"Parameter a, max",0
AdvancedECO ,Animal Mgmt,pathway,AFOLU,"Parameter a, max",0.10618
AdvancedECO ,Animal Mgmt,baseline,AFOLU,"Parameter a, max",0
NonOECD ,Animal Mgmt,pathway,AFOLU,"Parameter a, max",0.10618
NonOECD ,Animal Mgmt,baseline,AFOLU,"Parameter a, max",0
World ,Animal Mgmt,pathway,AFOLU,"Parameter a, max",0.10618
World ,Animal Mgmt,baseline,AFOLU,"Parameter a, max",0
CSAM ,Animal Mgmt,pathway,AFOLU,"Parameter a, max",0.10618
CSAM ,Animal Mgmt,baseline,AFOLU,"Parameter a, max",0
BRAZIL ,Animal Mgmt,pathway,AFOLU,"Parameter a, max",0.10618
BRAZIL ,Animal Mgmt,baseline,AFOLU,"Parameter a, max",0
AFRICA ,Animal Mgmt,pathway,AFOLU,"Parameter a, max",0.10618
AFRICA ,Animal Mgmt,baseline,AFOLU,"Parameter a, max",0
ME ,Animal Mgmt,pathway,AFOLU,"Parameter a, max",0.10618
ME ,Animal Mgmt,baseline,AFOLU,"Parameter a, max",0
EURASIA ,Animal Mgmt,pathway,AFOLU,"Parameter a, max",0.10618
EURASIA ,Animal Mgmt,baseline,AFOLU,"Parameter a, max",0
RUS ,Animal Mgmt,pathway,AFOLU,"Parameter a, max",0.10618
RUS ,Animal Mgmt,baseline,AFOLU,"Parameter a, max",0
ASIAPAC ,Animal Mgmt,pathway,AFOLU,"Parameter a, max",0.10618
ASIAPAC ,Animal Mgmt,baseline,AFOLU,"Parameter a, max",0
CHINA ,Animal Mgmt,pathway,AFOLU,"Parameter a, max",0.10618
CHINA ,Animal Mgmt,baseline,AFOLU,"Parameter a, max",0
INDIA ,Animal Mgmt,pathway,AFOLU,"Parameter a, max",0.10618
INDIA ,Animal Mgmt,baseline,AFOLU,"Parameter a, max",0
ASEAN ,Animal Mgmt,pathway,AFOLU,"Parameter a, max",0.10618
ASEAN ,Animal Mgmt,baseline,AFOLU,"Parameter a, max",0
DevelopingECO ,Animal Mgmt,pathway,AFOLU,"Parameter a, max",0.10618
DevelopingECO ,Animal Mgmt,baseline,AFOLU,"Parameter a, max",0
 OECD ,Animal Mgmt,pathway,AFOLU,"Parameter a, min",0.10618
 OECD ,Animal Mgmt,baseline,AFOLU,"Parameter a, min",0
NAM ,Animal Mgmt,pathway,AFOLU,"Parameter a, min",0.10618
NAM ,Animal Mgmt,baseline,AFOLU,"Parameter a, min",0
US ,Animal Mgmt,pathway,AFOLU,"Parameter a, min",0.10618
US ,Animal Mgmt,baseline,AFOLU,"Parameter a, min",0
EUR ,Animal Mgmt,pathway,AFOLU,"Parameter a, min",0.10618
EUR ,Animal Mgmt,baseline,AFOLU,"Parameter a, min",0
EU ,Animal Mgmt,pathway,AFOLU,"Parameter a, min",0.10618
EU ,Animal Mgmt,baseline,AFOLU,"Parameter a, min",0
SAFR ,Animal Mgmt,pathway,AFOLU,"Parameter a, min",0.10618
SAFR ,Animal Mgmt,baseline,AFOLU,"Parameter a, min",0
JPN ,Animal Mgmt,pathway,AFOLU,"Parameter a, min",0.10618
JPN ,Animal Mgmt,baseline,AFOLU,"Parameter a, min",0
AdvancedECO ,Animal Mgmt,pathway,AFOLU,"Parameter a, min",0.10618
AdvancedECO ,Animal Mgmt,baseline,AFOLU,"Parameter a, min",0
NonOECD ,Animal Mgmt,pathway,AFOLU,"Parameter a, min",0.10618
NonOECD ,Animal Mgmt,baseline,AFOLU,"Parameter a, min",0
World ,Animal Mgmt,pathway,AFOLU,"Parameter a, min",0.10618
World ,Animal Mgmt,baseline,AFOLU,"Parameter a, min",0
CSAM ,Animal Mgmt,pathway,AFOLU,"Parameter a, min",0.10618
CSAM ,Animal Mgmt,baseline,AFOLU,"Parameter a, min",0
BRAZIL ,Animal Mgmt,pathway,AFOLU,"Parameter a, min",0.10618
BRAZIL ,Animal Mgmt,baseline,AFOLU,"Parameter a, min",0
AFRICA ,Animal Mgmt,pathway,AFOLU,"Parameter a, min",0.10618
AFRICA ,Animal Mgmt,baseline,AFOLU,"Parameter a, min",0
ME ,Animal Mgmt,pathway,AFOLU,"Parameter a, min",0.10618
ME ,Animal Mgmt,baseline,AFOLU,"Parameter a, min",0
EURASIA ,Animal Mgmt,pathway,AFOLU,"Parameter a, min",0.10618
EURASIA ,Animal Mgmt,baseline,AFOLU,"Parameter a, min",0
RUS ,Animal Mgmt,pathway,AFOLU,"Parameter a, min",0.10618
RUS ,Animal Mgmt,baseline,AFOLU,"Parameter a, min",0
ASIAPAC ,Animal Mgmt,pathway,AFOLU,"Parameter a, min",0.10618
ASIAPAC ,Animal Mgmt,baseline,AFOLU,"Parameter a, min",0
CHINA ,Animal Mgmt,pathway,AFOLU,"Parameter a, min",0.10618
CHINA ,Animal Mgmt,baseline,AFOLU,"Parameter a, min",0
INDIA ,Animal Mgmt,pathway,AFOLU,"Parameter a, min",0.10618
INDIA ,Animal Mgmt,baseline,AFOLU,"Parameter a, min",0
ASEAN ,Animal Mgmt,pathway,AFOLU,"Parameter a, min",0.10618
ASEAN ,Animal Mgmt,baseline,AFOLU,"Parameter a, min",0
DevelopingECO ,Animal Mgmt,pathway,AFOLU,"Parameter a, min",0.10618
DevelopingECO ,Animal Mgmt,baseline,AFOLU,"Parameter a, min",0
 OECD ,Animal Mgmt,pathway,AFOLU,"Parameter b, max",40
