Region,ONSHORE,OFFSHORE,TIDE,GEOTHERM,HYDRO,ROOFTOP,SOLARPV,SOLARTH
Afghanistan,0,0,0,0,0,0,0,0
Albania,0.185222649497063,0.07208112368362,0.000964351403869,0,0.454225240751244,0.199081198745237,0.07208112368362,0.016344312235347
Algeria,0.241612684525461,0.019922552866269,0.001035828016364,1.7442748670965E-05,0.002605762119663,0.420406071074302,0.284509429635811,0.029890229013459
Angola,0.342246528034853,0.087843275528946,0.002313677944326,0,0.213616383831496,0.242614760984707,0.087843275528946,0.023522098146725
Antigua and Barbuda,0,0,0,0,0,0,0,0
Argentina,0.390548474479591,0.100240775116428,0.000240667859451,0.015676956198296,0.089355057546857,0.276855474131088,0.100240775116428,0.026841819551862
Armenia,0.266302682429705,0,0,0.013118356083448,0.376795315326162,0.188779012655724,0.136702043647249,0.018302589857712
Australia,0.23176413035349,0.125152630390884,0.003153979782101,0.003624804056842,0.037492843569347,0.278116956424187,0.292022804245397,0.028671851177751
Austria,0.359290384747604,0,0,4.83792896396825E-05,0.201528543493463,0.195024160506475,0.244108531962818,0
Azerbaijan,0.251906402110937,0,0,0,0.076184314030255,0.384349253659485,0.278321873339627,0.009238156859697
Bahamas,0,0,0,0,0,0,0,0
Bahrain,0.003810480085399,0.168341551469234,0.000154062722787,0,0,0.05366055829904,0.744037969305223,0.029995378118316
Bangladesh,0.06111937062756,0.061435568214993,0.002879897513128,0,0.002763479027861,0.341384282665864,0.500586703246823,0.02983069870377
Barbados,0,0,0,0,0,0,0,0
Belarus,0.348553529043815,0,0,0.000647069952441,0.003485704208089,0.154867199934008,0.492446496861647,0
Belgium,0.095701956969496,0.219008345822461,2.56234231767641E-05,0,0.001831949314697,0.032642238439302,0.650789886030868,0
Belize,0,0,0,0,0,0,0,0
Benin,0.2972402784627,0.164043418490272,0.00229540645284,0,0.00403168922284,0.338535601751345,0.164043418490272,0.02981018712973
Bhutan,0,0,0,0,0,0,0,0
Bolivia,0.323283673028171,0,0,0.195907773919782,0.063465254652564,0.229172203768859,0.165952285487795,0.02221880914283
Bosnia and Herzegovina,0.209906870019388,0.045064145225309,9.72846840908565E-05,0,0.263598430906022,0.301039935496912,0.172930290824178,0.007363042844099
Botswana,0.3395,0,0,0,0,0.36569,0.26481,0.03
Brazil,0.31767608957129,0.100067968214956,0.001802511870251,0,0.179444679956323,0.276378197927022,0.100067968214956,0.024562584245203
Brunei Darussalam,0.02326845567687,0.263049061541803,0.002880851472493,0,0,0.417838995311206,0.263049061541803,0.029913574455825
Bulgaria,0.322179561814678,0.148317748819042,0.000229775161972,0,0.079257191081804,0.301697974303462,0.148317748819042,0
Burkina Faso,0,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,0,0
Cambodia,0.22352979663115,0.14223126212955,0.000308905937385,0,0.071009113590886,0.392829200167328,0.14223126212955,0.027860459414152
Cameroon,0.3547162806803,0.036143086786934,0.002383211201181,0,0.083399570550624,0.308603164191861,0.187328170041655,0.027426516547446
Canada,0.340451062043479,0.097341235488685,0.004110445759803,0.02372416093074,0.215607477657282,0.221424382631326,0.097341235488685,0
Cape Verde,0,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0,0
Chad,0,0,0,0,0,0,0,0
Chile,0.289368525657147,0.129240174473337,0.002378513867156,0.037829020722137,0.089511185238838,0.278918341559457,0.129240174473336,0.043514064008594
China,0.252961305077254,0.143211722779869,0.000661039028821,0.000665544262091,0.067298950297992,0.292442620391837,0.214817584169803,0.027941233992333
Taiwan,0.023110559202626,0.230468682957382,0.001411088149977,0.317905878906865,0.010979228292259,0.165564765393982,0.230468682957382,0.020091114139527
Colombia,0.349604457653178,0.089731810797649,0.005593174797273,0,0.193480232641036,0.247830715536364,0.089731810797649,0.024027797776851
Comoros,0,0,0,0,0,0,0,0
